feature_name,chi2,pvalue,cramer_v,relative_importance_pct,is_important,contingency_n,terminal_flag
InternetService,732.309589667794,9.571788222840544e-160,0.32245455521230887,15.3577,1,7043,IMPORTANT
OnlineSecurity,849.9989679615965,2.6611496351765517e-185,0.3474004326740552,16.5458,1,7043,IMPORTANT
OnlineBackup,601.812790113409,2.0797592160864276e-131,0.2923155121954445,13.9223,1,7043,IMPORTANT
DeviceProtection,558.419369407389,5.505219496457244e-122,0.281579732968073,13.4109,1,7043,IMPORTANT
TechSupport,828.1970684587394,1.4430840279998987e-180,0.3429161982469257,16.3322,1,7043,IMPORTANT
StreamingTV,374.2039433109813,5.528994485739183e-82,0.2305023384466809,10.9783,1,7043,IMPORTANT
StreamingMovies,375.6614793452656,2.667756755723681e-82,0.23095080906926801,10.9996,1,7043,IMPORTANT
PhoneService,0.9150329892546948,0.3387825358066928,0.011398285522718045,0.5429,0,7043,-
MultipleLines,11.33044148319756,0.0034643829548773,0.04010925283378871,1.9103,0,7043,-
